Pixel,Red,Green,Blue,Mean Intensity
0,0.05154639175257732,0.0,0.0,0.017182130584192438
1,0.020618556701030927,0.0,0.0,0.006872852233676976
2,0.020618556701030927,0.0,0.0,0.006872852233676976
3,0.010309278350515464,0.0,0.061855670103092786,0.024054982817869417
4,0.010309278350515464,0.0,0.061855670103092786,0.024054982817869417
5,0.020618556701030927,0.010309278350515464,0.020618556701030927,0.017182130584192438
6,0.020618556701030927,0.010309278350515464,0.020618556701030927,0.017182130584192438
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.041237113402061855,0.013745704467353952
10,0.0,0.0,0.041237113402061855,0.013745704467353952
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.020618556701030927,0.006872852233676976
20,0.0,0.0,0.020618556701030927,0.006872852233676976
21,0.020618556701030927,0.0,0.0,0.006872852233676976
22,0.020618556701030927,0.0,0.0,0.006872852233676976
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.020618556701030927,0.006872852233676976
30,0.0,0.0,0.020618556701030927,0.006872852233676976
31,0.07216494845360824,0.0,0.061855670103092786,0.044673539518900345
32,0.07216494845360824,0.0,0.061855670103092786,0.044673539518900345
33,0.010309278350515464,0.0,0.041237113402061855,0.017182130584192438
34,0.010309278350515464,0.0,0.041237113402061855,0.017182130584192438
35,0.0,0.010309278350515464,0.061855670103092786,0.024054982817869417
36,0.0,0.010309278350515464,0.061855670103092786,0.024054982817869417
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.041237113402061855,0.013745704467353952
40,0.0,0.0,0.041237113402061855,0.013745704467353952
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.041237113402061855,0.0,0.020618556701030927,0.020618556701030927
46,0.041237113402061855,0.0,0.020618556701030927,0.020618556701030927
47,0.041237113402061855,0.0,0.08247422680412371,0.041237113402061855
48,0.041237113402061855,0.0,0.08247422680412371,0.041237113402061855
49,0.041237113402061855,0.0,0.3711340206185567,0.13745704467353953
50,0.041237113402061855,0.0,0.3711340206185567,0.13745704467353953
51,0.010309278350515464,0.0,2.845360824742268,0.9518900343642612
52,0.010309278350515464,0.0,2.845360824742268,0.9518900343642612
53,0.16494845360824742,0.0,11.649484536082474,3.938144329896907
54,0.16494845360824742,0.0,11.649484536082474,3.938144329896907
55,0.8350515463917526,0.0,25.030927835051546,8.621993127147766
56,1.0618556701030928,0.0,25.257731958762886,8.773195876288659
57,4.268041237113402,0.0,45.103092783505154,16.457044673539517
58,7.752577319587629,0.0,48.58762886597938,18.780068728522338
59,12.381443298969073,0.010309278350515464,67.45360824742268,26.61512027491409
60,14.041237113402062,0.16494845360824742,69.11340206185567,27.773195876288657
61,15.670103092783505,0.010309278350515464,74.84536082474227,30.175257731958766
62,15.164948453608247,0.0,74.34020618556701,29.835051546391753
63,10.103092783505154,0.0,66.64948453608247,25.584192439862544
64,6.721649484536083,0.0,63.2680412371134,23.329896907216494
65,1.7835051546391754,0.0,53.47422680412371,18.419243986254294
66,1.6597938144329898,0.0,53.350515463917525,18.33676975945017
67,2.7010309278350517,0.0,55.90721649484536,19.536082474226802
68,3.9587628865979383,0.0,57.16494845360825,20.374570446735394
69,4.494845360824742,0.0,62.329896907216494,22.274914089347078
70,4.247422680412371,0.0,62.08247422680412,22.10996563573883
71,3.443298969072165,0.0,57.103092783505154,20.18213058419244
72,1.4948453608247423,0.0,55.134020618556704,18.876288659793815
73,0.3917525773195876,0.0,44.103092783505154,14.831615120274913
74,0.24742268041237114,0.0,43.95876288659794,14.735395189003436
75,0.21649484536082475,0.0,36.97938144329897,12.398625429553265
76,0.23711340206185566,0.0,37.0,12.412371134020619
77,0.07216494845360824,0.0,34.4639175257732,11.512027491408936
78,0.07216494845360824,0.0,34.45360824742268,11.508591065292096
79,0.05154639175257732,0.0,28.02061855670103,9.357388316151203
80,0.05154639175257732,0.0,28.02061855670103,9.357388316151203
81,0.07216494845360824,0.0,16.88659793814433,5.652920962199313
82,0.07216494845360824,0.0,16.88659793814433,5.652920962199313
83,0.020618556701030927,0.0,6.164948453608248,2.061855670103093
84,0.020618556701030927,0.0,6.164948453608248,2.061855670103093
85,0.07216494845360824,0.0,1.5257731958762886,0.5326460481099656
86,0.07216494845360824,0.0,1.5257731958762886,0.5326460481099656
87,0.1134020618556701,0.010309278350515464,0.6185567010309279,0.24742268041237114
88,0.1134020618556701,0.010309278350515464,0.6185567010309279,0.24742268041237114
89,0.10309278350515463,0.0,0.7835051546391752,0.29553264604810997
90,0.10309278350515463,0.0,0.7835051546391752,0.29553264604810997
91,0.15463917525773196,0.0,0.8865979381443299,0.3470790378006872
92,0.15463917525773196,0.0,0.8865979381443299,0.3470790378006872
93,0.07216494845360824,0.0,2.6597938144329896,0.9106529209621993
94,0.07216494845360824,0.0,2.6597938144329896,0.9106529209621993
95,0.041237113402061855,0.0,10.185567010309278,3.40893470790378
96,0.041237113402061855,0.0,10.185567010309278,3.40893470790378
97,0.030927835051546393,0.0,19.484536082474225,6.505154639175257
98,0.030927835051546393,0.0,19.484536082474225,6.505154639175257
99,0.041237113402061855,0.0,23.030927835051546,7.690721649484536
100,0.041237113402061855,0.0,23.030927835051546,7.690721649484536
101,0.010309278350515464,0.0,18.123711340206185,6.0446735395189
102,0.010309278350515464,0.0,18.123711340206185,6.0446735395189
103,0.0,0.0,9.381443298969073,3.127147766323024
104,0.0,0.0,9.381443298969073,3.127147766323024
105,0.020618556701030927,0.0,4.020618556701031,1.3470790378006872
106,0.020618556701030927,0.0,4.020618556701031,1.3470790378006872
107,0.010309278350515464,0.030927835051546393,3.5051546391752577,1.1821305841924399
108,0.010309278350515464,0.030927835051546393,3.5051546391752577,1.1821305841924399
109,0.07216494845360824,0.0,4.762886597938144,1.6116838487972507
110,0.07216494845360824,0.0,4.762886597938144,1.6116838487972507
111,0.08247422680412371,0.0,5.298969072164948,1.7938144329896906
112,0.08247422680412371,0.0,5.298969072164948,1.7938144329896906
113,0.061855670103092786,0.0,3.649484536082474,1.2371134020618557
114,0.061855670103092786,0.0,3.649484536082474,1.2371134020618557
115,0.041237113402061855,0.0,2.268041237113402,0.7697594501718212
116,0.041237113402061855,0.0,2.268041237113402,0.7697594501718212
117,0.16494845360824742,0.0,1.8144329896907216,0.6597938144329897
118,0.16494845360824742,0.0,1.8144329896907216,0.6597938144329897
119,0.08247422680412371,0.0,2.6804123711340204,0.9209621993127147
120,0.08247422680412371,0.0,2.6804123711340204,0.9209621993127147
121,0.010309278350515464,0.020618556701030927,4.144329896907217,1.3917525773195878
122,0.010309278350515464,0.020618556701030927,4.144329896907217,1.3917525773195878
123,0.010309278350515464,0.041237113402061855,3.5463917525773194,1.1993127147766323
124,0.010309278350515464,0.041237113402061855,3.5463917525773194,1.1993127147766323
125,0.0,0.010309278350515464,2.783505154639175,0.9312714776632302
