Pixel,Red,Green,Blue,Mean Intensity
0,0.0,0.0,0.08333333333333333,0.027777777777777776
1,0.0,0.0,0.08333333333333333,0.027777777777777776
2,0.0,0.0,0.041666666666666664,0.013888888888888888
3,0.0,0.0,0.041666666666666664,0.013888888888888888
4,0.0,0.0,0.06944444444444445,0.02314814814814815
5,0.0,0.0,0.06944444444444445,0.02314814814814815
6,0.0,0.0,0.08333333333333333,0.027777777777777776
7,0.0,0.0,0.08333333333333333,0.027777777777777776
8,0.0,0.0,0.06944444444444445,0.02314814814814815
9,0.0,0.0,0.06944444444444445,0.02314814814814815
10,0.0,0.0,0.16666666666666666,0.05555555555555555
11,0.0,0.0,0.16666666666666666,0.05555555555555555
12,0.0,0.006944444444444444,0.25,0.08564814814814814
13,0.0,0.006944444444444444,0.25,0.08564814814814814
14,0.0,0.0,0.20833333333333334,0.06944444444444445
15,0.0,0.0,0.20833333333333334,0.06944444444444445
16,0.0,0.0,0.7638888888888888,0.2546296296296296
17,0.0,0.0,0.7638888888888888,0.2546296296296296
18,0.0,0.0,4.0,1.3333333333333333
19,0.0,0.0,4.0,1.3333333333333333
20,0.0,0.0,13.375,4.458333333333333
21,0.0,0.0,13.375,4.458333333333333
22,0.0,0.0,29.15277777777778,9.717592592592593
23,0.125,0.0,29.27777777777778,9.800925925925926
24,2.1944444444444446,0.006944444444444444,51.15277777777778,17.78472222222222
25,4.694444444444445,0.006944444444444444,53.68055555555556,19.46064814814815
26,7.861111111111111,0.0,72.03472222222223,26.631944444444446
27,8.95138888888889,0.0,73.13194444444444,27.36111111111111
28,9.416666666666666,0.020833333333333332,76.72222222222223,28.71990740740741
29,8.506944444444445,0.0,75.8125,28.10648148148148
30,3.6944444444444446,0.0,62.55555555555556,22.083333333333332
31,0.3402777777777778,0.0,59.125,19.82175925925926
32,0.0,0.0,52.458333333333336,17.48611111111111
33,0.3263888888888889,0.0,53.166666666666664,17.831018518518515
34,1.7777777777777777,0.0,59.30555555555556,20.36111111111111
35,2.6041666666666665,0.0,60.326388888888886,20.97685185185185
36,2.951388888888889,0.0,65.85416666666667,22.935185185185187
37,1.9444444444444444,0.0,64.75,22.23148148148148
38,0.3055555555555556,0.0,54.61805555555556,18.30787037037037
39,0.027777777777777776,0.0,54.0625,18.03009259259259
40,0.0,0.0,42.93055555555556,14.310185185185185
41,0.0,0.0,42.93055555555556,14.310185185185185
42,0.0,0.0,39.125,13.041666666666666
43,0.0,0.0,39.125,13.041666666666666
44,0.0,0.006944444444444444,36.68055555555556,12.229166666666666
45,0.0,0.006944444444444444,36.68055555555556,12.229166666666666
46,0.0,0.0,25.958333333333332,8.652777777777777
47,0.0,0.0,25.958333333333332,8.652777777777777
48,0.0,0.0,12.069444444444445,4.023148148148148
49,0.0,0.0,12.069444444444445,4.023148148148148
50,0.0,0.006944444444444444,3.6666666666666665,1.224537037037037
51,0.0,0.006944444444444444,3.6666666666666665,1.224537037037037
52,0.0,0.0,1.4166666666666667,0.47222222222222227
53,0.0,0.0,1.4166666666666667,0.47222222222222227
54,0.0,0.0,1.0277777777777777,0.34259259259259256
55,0.0,0.0,1.0277777777777777,0.34259259259259256
56,0.0,0.0,1.0277777777777777,0.34259259259259256
57,0.0,0.0,1.0277777777777777,0.34259259259259256
58,0.0,0.006944444444444444,1.7916666666666667,0.5995370370370371
59,0.0,0.006944444444444444,1.7916666666666667,0.5995370370370371
60,0.0,0.020833333333333332,7.694444444444445,2.571759259259259
61,0.0,0.020833333333333332,7.694444444444445,2.571759259259259
62,0.0,0.020833333333333332,17.88888888888889,5.969907407407407
63,0.0,0.020833333333333332,17.88888888888889,5.969907407407407
64,0.0,0.013888888888888888,25.416666666666668,8.476851851851853
65,0.0,0.013888888888888888,25.416666666666668,8.476851851851853
66,0.0,0.0,22.944444444444443,7.648148148148148
67,0.0,0.0,22.944444444444443,7.648148148148148
68,0.0,0.013888888888888888,12.555555555555555,4.189814814814815
69,0.0,0.013888888888888888,12.555555555555555,4.189814814814815
70,0.0,0.05555555555555555,5.763888888888889,1.9398148148148149
71,0.0,0.05555555555555555,5.763888888888889,1.9398148148148149
72,0.0,0.0625,4.055555555555555,1.3726851851851851
73,0.0,0.0625,4.055555555555555,1.3726851851851851
74,0.0,0.041666666666666664,5.736111111111111,1.9259259259259258
75,0.0,0.041666666666666664,5.736111111111111,1.9259259259259258
76,0.0,0.04861111111111111,5.777777777777778,1.9421296296296295
77,0.0,0.04861111111111111,5.777777777777778,1.9421296296296295
