Pixel,Red,Green,Blue,Mean Intensity
0,0.04040404040404041,0.0,0.0,0.01346801346801347
1,0.04040404040404041,0.0,0.0,0.01346801346801347
2,0.09090909090909091,0.0,0.06060606060606061,0.050505050505050504
3,0.09090909090909091,0.0,0.06060606060606061,0.050505050505050504
4,0.030303030303030304,0.0,0.0,0.010101010101010102
5,0.030303030303030304,0.0,0.0,0.010101010101010102
6,0.020202020202020204,0.0,0.020202020202020204,0.01346801346801347
7,0.020202020202020204,0.0,0.020202020202020204,0.01346801346801347
8,0.0,0.0,0.08080808080808081,0.02693602693602694
9,0.0,0.0,0.08080808080808081,0.02693602693602694
10,0.0,0.0,0.020202020202020204,0.006734006734006735
11,0.0,0.0,0.020202020202020204,0.006734006734006735
12,0.010101010101010102,0.0,0.0,0.0033670033670033673
13,0.010101010101010102,0.0,0.0,0.0033670033670033673
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.020202020202020204,0.006734006734006735
17,0.0,0.0,0.020202020202020204,0.006734006734006735
18,0.010101010101010102,0.0,0.0,0.0033670033670033673
19,0.010101010101010102,0.0,0.0,0.0033670033670033673
20,0.050505050505050504,0.0,0.12121212121212122,0.057239057239057235
21,0.050505050505050504,0.0,0.12121212121212122,0.057239057239057235
22,0.09090909090909091,0.0,0.4444444444444444,0.17845117845117844
23,0.09090909090909091,0.0,0.4444444444444444,0.17845117845117844
24,0.10101010101010101,0.0,0.6868686868686869,0.2626262626262626
25,0.10101010101010101,0.0,0.6868686868686869,0.2626262626262626
26,0.050505050505050504,0.0,0.8686868686868687,0.3063973063973064
27,0.050505050505050504,0.0,0.8686868686868687,0.3063973063973064
28,0.08080808080808081,0.0,0.8080808080808081,0.2962962962962963
29,0.08080808080808081,0.0,0.8080808080808081,0.2962962962962963
30,0.06060606060606061,0.0,1.0505050505050506,0.3703703703703704
31,0.06060606060606061,0.0,1.0505050505050506,0.3703703703703704
32,0.18181818181818182,0.0,1.1717171717171717,0.4511784511784512
33,0.18181818181818182,0.0,1.1717171717171717,0.4511784511784512
34,0.1717171717171717,0.0,1.4747474747474747,0.5488215488215488
35,0.1717171717171717,0.0,1.4747474747474747,0.5488215488215488
36,0.030303030303030304,0.0,2.5656565656565657,0.8653198653198654
37,0.030303030303030304,0.0,2.5656565656565657,0.8653198653198654
38,0.06060606060606061,0.0,4.161616161616162,1.4074074074074074
39,0.06060606060606061,0.0,4.161616161616162,1.4074074074074074
40,0.06060606060606061,0.0,6.161616161616162,2.074074074074074
41,0.06060606060606061,0.0,6.161616161616162,2.074074074074074
42,0.09090909090909091,0.0,11.616161616161616,3.9023569023569027
43,0.09090909090909091,0.0,11.616161616161616,3.9023569023569027
44,0.31313131313131315,0.0,19.515151515151516,6.60942760942761
45,0.31313131313131315,0.0,19.515151515151516,6.60942760942761
46,2.0303030303030303,0.0,33.5959595959596,11.875420875420877
47,2.8282828282828283,0.0,34.39393939393939,12.407407407407407
48,5.96969696969697,0.0,50.77777777777778,18.915824915824917
49,6.656565656565657,0.0,51.464646464646464,19.373737373737374
50,10.505050505050505,0.0,68.96969696969697,26.49158249158249
51,14.969696969696969,0.25252525252525254,73.43434343434343,29.55218855218855
