Pixel,Red,Green,Blue,Mean Intensity
0,17.714285714285715,0.004761904761904762,0.08571428571428572,5.934920634920636
1,18.438095238095237,0.0,0.0761904761904762,6.171428571428571
2,18.561904761904763,0.0,0.0761904761904762,6.212698412698413
3,18.461904761904762,0.0,0.02857142857142857,6.163492063492064
4,18.34285714285714,0.0,0.02857142857142857,6.123809523809523
5,18.16190476190476,0.0,0.09523809523809523,6.085714285714285
6,18.247619047619047,0.0,0.09523809523809523,6.114285714285714
7,18.557142857142857,0.0,0.01904761904761905,6.192063492063492
8,18.547619047619047,0.0,0.01904761904761905,6.188888888888889
9,17.88095238095238,0.0,0.05714285714285714,5.9793650793650786
10,17.823809523809523,0.0,0.05714285714285714,5.96031746031746
11,16.4,0.0,0.047619047619047616,5.482539682539682
12,16.39047619047619,0.0,0.047619047619047616,5.4793650793650786
13,15.99047619047619,0.0,0.047619047619047616,5.346031746031746
14,15.99047619047619,0.0,0.047619047619047616,5.346031746031746
15,17.10952380952381,0.0,0.18095238095238095,5.7634920634920634
16,17.133333333333333,0.0,0.18095238095238095,5.771428571428571
17,17.752380952380953,0.0,0.1619047619047619,5.9714285714285715
18,17.795238095238094,0.0,0.1619047619047619,5.985714285714285
19,17.69047619047619,0.0,0.12380952380952381,5.938095238095237
20,17.642857142857142,0.0,0.11904761904761904,5.920634920634921
21,17.276190476190475,0.0,0.08571428571428572,5.787301587301587
22,17.295238095238094,0.0,0.08571428571428572,5.7936507936507935
23,17.052380952380954,0.0,0.09523809523809523,5.715873015873016
24,17.057142857142857,0.0,0.09523809523809523,5.717460317460318
25,17.004761904761907,0.0,0.009523809523809525,5.671428571428572
26,16.995238095238093,0.0,0.009523809523809525,5.668253968253968
27,17.485714285714284,0.0,0.01904761904761905,5.834920634920635
28,17.5,0.0,0.01904761904761905,5.839682539682539
29,18.29047619047619,0.0,0.0380952380952381,6.10952380952381
30,18.29047619047619,0.0,0.0380952380952381,6.10952380952381
31,17.433333333333334,0.0,0.01904761904761905,5.817460317460317
32,17.395238095238096,0.0,0.01904761904761905,5.804761904761905
